Rank,Team,Corners Taken,Matches,Country
1,Liverpool,287,38,ENG
2,Manchester City,286,38,ENG
3,Arsenal,265,38,ENG
4,AFC Bournemouth,235,38,ENG
5,Tottenham Hotspur,234,38,ENG
6,Aston Villa,231,38,ENG
7,Manchester United,224,38,ENG
8,Fulham,212,38,ENG
9,Brighton & Hove Albion,206,38,ENG
10,Luton Town,203,38,ENG
11,Chelsea,202,38,ENG
12,Newcastle United,192,38,ENG
13,Brentford,184,38,ENG
14,Everton,181,38,ENG
15,Burnley,180,38,ENG
16,Crystal Palace,178,38,ENG
17,West Ham United,166,38,ENG
18,Wolverhampton Wanderers,156,38,ENG
19,Nottingham Forest,148,38,ENG
20,Sheffield United,141,38,ENG
