Rank,Team,Yellow Cards,Red Cards,Matches,Country
1,Chelsea,105,4,38,ENG
2,Wolverhampton Wanderers,100,4,38,ENG
3,Sheffield United,95,5,38,ENG
4,Aston Villa,94,2,38,ENG
5,Brighton & Hove Albion,91,3,38,ENG
6,Tottenham Hotspur,89,4,38,ENG
7,Brentford,89,2,38,ENG
8,Manchester United,81,1,38,ENG
9,Everton,80,1,38,ENG
10,AFC Bournemouth,79,3,38,ENG
11,Fulham,78,4,38,ENG
12,Nottingham Forest,78,3,38,ENG
13,Newcastle United,77,1,38,ENG
14,West Ham United,76,3,38,ENG
15,Burnley,71,7,38,ENG
16,Luton Town,71,0,38,ENG
17,Crystal Palace,69,2,38,ENG
18,Liverpool,65,5,38,ENG
19,Arsenal,62,2,38,ENG
20,Manchester City,52,2,38,ENG
